"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Properties", "PostCSS", "comment", "blank", "total"
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/.env", "Properties", 0, 0, 0, 0, 6, 0, 4, 4, 14
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/LICENSE.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 18, 39
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/package-lock.json", "JSON", 0, 2677, 0, 0, 0, 0, 0, 1, 2678
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 1, 36
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/base.css", "PostCSS", 0, 0, 0, 0, 0, 140, 2, 5, 147
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/buttons.css", "PostCSS", 0, 0, 0, 0, 0, 192, 6, 34, 232
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/connection.css", "PostCSS", 0, 0, 0, 0, 0, 124, 3, 21, 148
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/forms.css", "PostCSS", 0, 0, 0, 0, 0, 149, 3, 26, 178
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/header.css", "PostCSS", 0, 0, 0, 0, 0, 309, 3, 50, 362
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/login.css", "PostCSS", 0, 0, 0, 0, 0, 333, 5, 52, 390
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/logsview.css", "PostCSS", 0, 0, 0, 0, 0, 114, 0, 23, 137
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/main.css", "PostCSS", 0, 0, 0, 0, 0, 670, 18, 116, 804
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/modals.css", "PostCSS", 0, 0, 0, 0, 0, 1200, 32, 182, 1414
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/notifications.css", "PostCSS", 0, 0, 0, 0, 0, 149, 1, 26, 176
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/tables.css", "PostCSS", 0, 0, 0, 0, 0, 247, 9, 40, 296
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/index.html", "HTML", 0, 0, 549, 0, 0, 0, 3, 55, 607
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/js/SoldierSignOutApp.js", "JavaScript", 92, 0, 0, 0, 0, 0, 2, 21, 115
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/js/modules/auth-manager.js", "JavaScript", 269, 0, 0, 0, 0, 0, 9, 56, 334
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/js/modules/barcode-manager.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 36, 160
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/js/modules/barcode-parser.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 62, 210
